Current Build;FAMILY;STATUS;PLATFORM;FLOW;SITE;USERNAME;TESTCASENAME;Error String;CR;notes;Reference Build;Reference Family;Reference Status;Reference Platform;Reference Flow;Reference Site;Reference User;Reference Error Message
14.2_0606;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc6_98721_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7L;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc7_65762_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc8_21275_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE;aurora_tc9_69533_0;ERROR: [Vivado 12-1326] Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.;1;;14.2_0605;VIRTEX7;PASS;LIN64;COREGENIP;IN;KARTHEE; Parameter properties are not supported on legacy IP. Please convert from legacy to native IP if applicable.
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_0;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_1;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_10;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_11;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_12;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_13;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_14;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_15;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_2;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_3;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_4;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_5;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;axi_usb2_device_12283_6;"ERROR: [Coretcl 2-197] Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a""";1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;" Could not find this IP in the IP Catalog: ""xilinx.com:ip:axi_usb2_device:3.01.a"""
